Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
4,"C. Zhang","Median effective effect-site concentration of sufentanil for wake-up test in adolescents undergoing surgery: A randomized trial",2015,"BMC Anesthesiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84928727441&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84928727441&origin=inward",4,"2021-01-16 15:03:05","Article","10.1186/s12871-015-0003-2","1471-2253","https://api.elsevier.com/content/abstract/scopus_id/84928727441",15,1,,,4,0.67,4,1,6,""
22,"S. Cayli","Neuroprotective effect of etomidate on functional recovery in experimental spinal cord injury",2006,"International Journal of Developmental Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33646828525&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33646828525&origin=inward",3,"2021-01-16 15:03:05","Article","10.1016/j.ijdevneu.2006.04.003","0736-5748","https://api.elsevier.com/content/abstract/scopus_id/33646828525",24,4,233,239,22,1.47,22,1,15,""
38,"W.Y. Lee","Intraoperative monitoring of motor function by magnetic motor evoked potentials",1995,"Neurosurgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028967784&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028967784&origin=inward",2,"2021-01-16 15:03:05","Article","10.1227/00006123-199503000-00008","0148-396X","https://api.elsevier.com/content/abstract/scopus_id/0028967784",36,3,493,500,38,1.46,38,1,26,""
64,"S. Fukuda","Cerebral protection",2007,"British Journal of Anaesthesia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34447536859&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34447536859&origin=inward",1,"2021-01-16 15:03:05","Review","10.1093/bja/aem140","0007-0912","https://api.elsevier.com/content/abstract/scopus_id/34447536859",99,1,10,17,64,4.57,64,1,14,""
