Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"S. Maresh","Buspirone decreases susceptibility to hypocapnic central sleep apnea in chronic SCI patients",2020,"Journal of Applied Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091890728&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091890728&origin=inward",3,"2021-01-12 16:20:57","Article","10.1152/japplphysiol.00435.2020","8750-7587","https://api.elsevier.com/content/abstract/scopus_id/85091890728",129,4,,,0,0.00,0,1,1,""
0,"E. Holsboer-Trachsler","Therapy of depression in neurorehabilitation and neurobiological mechanisms of action",2003,"Schweizer Archiv fur Neurologie und Psychiatrie","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0346727106&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0346727106&origin=inward",4,"2021-01-12 16:20:57","Review","10.4414/sanp.2003.01431","0258-7661","https://api.elsevier.com/content/abstract/scopus_id/0346727106",154,8,431,439,0,0.00,0,1,18,""
9,"N. Zidan","A randomized, blinded, prospective clinical trial of postoperative rehabilitation in dogs after surgical decompression of acute thoracolumbar intervertebral disc herniation",2018,"Journal of Veterinary Internal Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045097063&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045097063&origin=inward",2,"2021-01-12 16:20:57","Article","10.1111/jvim.15086","0891-6640","https://api.elsevier.com/content/abstract/scopus_id/85045097063",32,3,1133,1144,9,3.00,9,1,3,""
26,"R. Basson","Sexual function of women with chronic illness and cancer",2010,"Women's Health","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77952119823&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77952119823&origin=inward",1,"2021-01-12 16:20:57","Review","10.2217/whe.10.23","1745-5057","https://api.elsevier.com/content/abstract/scopus_id/77952119823",6,3,407,429,26,2.36,26,1,11,""
